min_distance_depot,average_distance_depot,max_distance_depot,min_distance_nondepot,average_distance_nondepot,max_distance_nondepot,min_demand,average_demand,max_demand,num_customers,vehicle_capacity,best_objective_value,computational_time
88,493.2666667,831,20,578.8137931,1262,33,68.33333333,99,30,500,11558,2.237718105
71,370.3333333,798,25,475.5357625,1237,31,59.8974359,97,39,500,13170,2.828400373
109,576.5555556,946,29,570.751634,1110,30,62.11111111,94,18,300,7449,1.733026505
55,399.3376623,798,6,521.2552973,1307,31,63.92207792,99,77,400,32829,4.724272966
231,553.5294118,828,35,550.1470588,1193,35,60.58823529,97,17,300,6790,1.629084826
174,616.7045455,1169,18,513.2494715,1309,33,64.88636364,100,44,400,19415,3.046254873
18,400.8795181,914,7,504.8615927,1226,30,65.65060241,100,83,400,34567,5.602811098
102,539.9487179,1002,9,558.2132254,1234,30,61.46153846,100,39,500,15670,2.989287138
46,583.5744681,1002,15,526.3024977,1087,32,65.0212766,98,47,300,23531,3.5539639
51,550.5783133,1047,19,540.4581252,1278,30,62.46987952,100,83,400,39890,5.279994965
44,416.2857143,762,8,542.9415584,1292,30,62.27272727,99,77,500,30570,4.986141682
13,440.1830986,725,30,553.745674,1278,31,67.29577465,100,71,400,30818,5.761700392
127,527.2678571,1030,15,529.7545455,1309,30,66.01785714,98,56,400,24928,3.870778084
127,604.3521127,1039,7,530.7424547,1232,30,66.8028169,100,71,300,39460,4.753278255
156,424.0833333,686,11,535,1180,30,63.29166667,100,24,400,8831,2.294702768
66,543.8072289,1020,6,497.4945636,1134,30,68.02409639,100,83,400,40323,5.424912214
60,450.752809,845,8,557.897855,1248,34,67.88764045,100,89,400,40378,5.903615952
60,625.4105263,1168,6,526.4640538,1225,30,62.42105263,100,95,500,43760,5.910633564
78,428.7653061,888,10,523.782874,1334,30,64.32653061,98,98,300,44976,6.435314178
71,407.7307692,864,7,494.5144855,1166,30,63.01282051,100,78,400,32162,5.840652466
55,497.3809524,1030,11,540.1658061,1264,30,67.19047619,99,84,500,37504,6.047534466
111,412.6190476,775,26,457.4,967,36,67,96,21,500,5597,2.269699574
157,616.2083333,1024,57,547.75,1188,34,62.29166667,100,24,300,11893,2.301679611
31,502.8253968,915,25,536.9590374,1269,30,63.63492063,99,63,400,25991,4.568384171
91,444.2727273,677,56,540.7818182,938,56,76.63636364,92,11,500,3500,1.371212959
52,507.7,1044,24,534.2183908,1242,30,64.5,99,30,300,13306,2.231722355
38,579.8101266,1074,8,491.0522558,1187,30,64.97468354,99,79,300,42048,4.90816927
35,503.7564103,927,14,510.0506161,1148,30,61.57692308,100,78,500,34440,5.251987696
65,349.3846154,709,27,470.7969231,1060,31,57.30769231,90,26,300,9025,2.222744226
109,435.2758621,871,35,497.2980296,1034,31,73.82758621,98,29,300,12465,2.278693676
51,395.5176471,832,14,506.9016807,1333,31,63.75294118,100,85,500,34571,5.98255229
119,498.8965517,898,6,527.184513,1268,32,68.55172414,99,58,300,29596,3.995533943
29,389.47,707,12,528.4828283,1313,30,64.23,99,100,400,44463,5.863620758
126,431.4814815,849,9,546.5734568,1320,30,67.16049383,99,81,300,40691,5.147031784
91,626.4747475,1140,8,538.5897753,1322,32,66.29292929,100,99,300,58379,6.070523024
81,457.5909091,872,13,504.0097902,1230,30,62.96969697,100,66,300,30245,4.259560347
98,449.3061224,760,17,489.3205782,1258,36,68.10204082,98,49,500,18234,3.258134604
69,612.0175439,1122,24,537.0726817,1303,31,67.52631579,99,57,300,32005,3.79182744
61,493.6756757,979,23,479.9369369,1146,30,63.35135135,100,37,500,12712,2.682462215
17,413.1707317,754,14,527.0180668,1341,30,63.65853659,100,82,400,37494,4.987144232
63,438.8518519,963,26,512.8005698,1099,40,69.25925926,96,27,500,7475,2.036834478
37,386.4210526,772,20,527.3283208,1242,30,63.10526316,97,57,400,23571,3.810796738
72,445.8080808,756,2,535.8655947,1276,30,63.73737374,100,99,400,46427,5.908617735
50,409.7692308,764,8,524.2604063,1243,30,63.93589744,100,78,400,32688,4.753257036
203,408.3,630,74,560.7947368,1101,30,63.95,100,20,500,6227,1.819957972
105,479.1470588,974,12,537.85918,1208,30,63.29411765,97,34,300,14745,2.631473303
54,626.8414634,1212,24,533.1391147,1271,30,66.1097561,100,82,300,44228,5.184033155
40,736.244186,1251,15,506.4848153,1265,30,64.27906977,100,86,300,51313,5.593792915
102,377.5238095,735,18,511.1597542,1274,31,67,100,63,300,26621,3.945719004
83,509.3648649,968,6,520.9866716,1324,31,62.5,100,74,400,31910,5.608788013
50,591.0337079,1110,8,538.1677732,1370,30,67.13483146,100,89,300,50515,5.88962841
113,449.5,803,74,507.3626374,1063,40,74.57142857,99,14,400,5212,1.438195705
72,547.4444444,1038,13,520.6783951,1259,30,65.38271605,100,81,300,42640,5.248973608
15,350.4615385,604,22,493.6676923,1019,34,63.34615385,98,26,400,9179,2.124761343
70,676.5222222,1227,10,510.0996255,1257,30,60.8,100,90,500,41997,5.474864006
79,494.0833333,978,6,522.6719858,1228,32,67.04166667,100,48,300,23488,3.328072786
43,465.2923077,880,12,508.6240385,1311,30,71.09230769,98,65,300,30678,4.35350585
62,419.2150538,676,7,550.4595605,1229,31,68.38709677,100,93,500,40454,5.774691105
37,504.9534884,932,12,541.7980848,1307,31,63.56976744,100,86,500,36998,5.106075287
78,641.1267606,1124,9,524.4096579,1216,30,62.77464789,100,71,500,32179,4.414471149
117,483.78125,865,38,542.9576613,1145,33,68.34375,96,32,500,11410,2.433623075
65,383.3287671,732,6,508.2952816,1329,30,67.73972603,100,73,400,31179,4.697307825
31,417.625,735,14,529.3971774,1255,33,61.84375,99,32,400,12565,2.327665329
79,427.1132075,898,16,531.4564586,1256,31,66.1509434,100,53,500,21373,3.585944176
45,589.8888889,1001,20,530.4501425,1055,31,62.74074074,99,27,300,12172,2.185748339
34,525.1604938,919,6,513.8351852,1194,30,62.20987654,99,81,300,40770,5.46586895
238,500.1176471,830,43,537.2058824,1027,35,72.41176471,96,17,300,7962,1.665043831
27,455.6506024,945,4,512.2089333,1163,30,66.30120482,100,83,300,38498,5.228005648
51,538.5,974,10,527.7859649,1268,30,65.53947368,99,76,300,37608,4.893192053
26,465.8375,916,5,512.2962025,1254,31,63.575,99,80,400,34209,4.850200653
79,442.3571429,783,17,488.7224158,1135,32,67.73809524,100,42,500,14405,2.879370689
17,431.575,848,10,529.5993671,1279,30,65.4875,100,80,500,32276,4.846223831
42,435.0779221,936,12,496.5888585,1352,30,59.51948052,96,77,400,32456,4.79927063
101,485.3214286,963,30,499.0740741,1076,32,58.03571429,96,28,500,8703,2.236717224
108,509.16,819,51,515.02,1092,30,56.6,93,25,300,9316,1.983880281
260,451.5,816,47,578.8571429,1180,34,70.07142857,97,14,400,5889,1.481149912
119,544.6666667,1013,87,484.5333333,1026,30,54.53333333,89,15,300,5421,1.4691751
51,467.0266667,923,9,488.0536937,1213,31,57.93333333,100,75,400,30632,4.667326212
67,583.025,1121,4,466.7705696,1129,31,66.9625,100,80,400,37714,5.077111244
21,438.0927835,864,3,545.3290378,1243,30,65.5257732,98,97,400,43273,5.875647783
94,564,934,12,520.4987013,1212,30,59.32142857,98,56,400,22667,3.642934084
10,476.6304348,880,9,520.9188406,1242,30,65.10869565,100,46,500,16518,3.25413394
99,463.2738095,1010,6,482.3072289,1342,30,65.97619048,100,84,400,36141,5.08506608
29,378.8307692,663,9,517.0182692,1221,30,62.86153846,99,65,400,24579,4.215585709
118,554.5909091,892,52,590.1904762,1264,36,68.68181818,96,22,400,9899,1.88789773
53,591.8924731,1003,12,512.188172,1250,30,66,100,93,400,44350,16.34782481
118,467.1071429,870,18,521.2486772,1223,37,61.03571429,99,28,400,10765,2.970297575
23,616.0322581,1150,8,590.7505376,1285,30,63.06451613,94,31,500,13188,6.390340567
24,592.3478261,1081,15,502.6096618,1199,30,62.34782609,100,46,500,18752,11.70229983
69,390.4712644,747,10,485.4910452,1300,30,63.67816092,100,87,500,33784,11.91917324
151,616.6578947,1169,29,541.3613087,1361,33,60.84210526,99,38,400,16137,9.706440449
51,586.95,1089,12,511.8011299,1152,31,63.1,98,60,500,24807,9.858351469
47,547.625,987,7,524.96518,1278,30,64.875,99,72,400,34600,8.521119356
56,485.8461538,966,9,551.9307692,1249,31,65.92307692,100,65,400,27542,5.927603245
78,471.3823529,901,39,507.3101604,1240,32,66.38235294,97,34,500,13085,3.192188978
154,604.7037037,1033,32,494.2364672,1118,32,64.85185185,100,27,500,8949,4.670322895
19,647.46875,1213,10,527.3870614,1266,30,65.32291667,100,96,400,48082,12.17103076
109,665.212766,1105,17,498.2377428,1181,30,62.70212766,98,47,500,20107,3.255134821
121,321.3,601,54,451.2,840,37,66.8,97,10,300,3037,1.252282143
47,453.4929577,924,20,543.4289738,1345,30,65.08450704,99,71,300,32690,4.733288527
41,484.625,972,4,547.6909722,1273,33,67.375,100,64,300,31169,5.096082687
70,555.1428571,1008,13,525.8904762,954,34,68.42857143,96,21,300,9444,2.153785706
116,476.9450549,902,6,518.6754579,1308,30,62.30769231,98,91,300,43919,7.132914782
228,581.9333333,896,67,503.3809524,1125,31,69.73333333,100,15,300,7139,1.564101219
26,468.5454545,910,17,533.6498834,1301,30,60.60606061,99,66,400,27401,4.310529947
41,509.5060241,962,3,536.7275933,1286,30,64.79518072,100,83,300,39959,5.721704721
29,510.2659574,1049,3,521.8762297,1212,30,65.95744681,100,94,500,38890,5.827681541
175,519.25,955,8,512.1789474,1020,30,66.9,100,20,400,6497,1.835945606
64,419.1648352,760,10,521.7448107,1237,30,64.59340659,100,91,500,38770,5.762701273
115,464.5,765,46,511.3166667,1176,31,60.5,99,16,500,5107,1.527142286
89,465.326087,920,6,466.2608696,1221,32,68.47826087,99,46,300,19760,3.277101517
46,526.3703704,1050,4,526.9265432,1261,30,63.92592593,100,81,500,34396,5.084098577
222,659.4210526,1085,44,528.6374269,1015,30,66.63157895,98,19,500,6792,2.094799757
56,418.1190476,803,8,524.8207114,1296,30,64.58333333,99,84,300,39295,5.170057774
158,531.3125,938,8,466.0282258,1083,30,69.15625,100,32,300,14598,2.404624224
36,454.5076923,880,6,511.2846154,1248,31,67.32307692,99,65,400,26372,4.174608946
21,524.0571429,1021,11,509.2198758,1143,31,65.74285714,100,70,300,35301,4.679297924
81,670.5051546,1214,9,513.4888316,1192,30,62.89690722,99,97,300,57468,6.051532269
133,633.9259259,1184,16,534.2962963,1214,31,64.59259259,95,54,500,23123,3.599936485
76,516.1875,996,33,538.4052419,1145,30,69.3125,99,32,500,11847,2.473580837
51,654.5454545,1266,15,525.7019171,1270,30,62.55555556,99,99,400,49576,6.393335819
50,463.877551,869,12,539.8651378,1300,30,64.94897959,100,98,400,45893,5.977558374
148,759.537037,1230,8,493.6855346,1156,31,65.7037037,99,54,300,32772,3.669894934
111,699.3529412,983,42,572.4044118,1085,30,62.64705882,96,17,500,6209,1.593087673
26,572.25,1126,19,591.6811594,1267,33,67.625,98,24,300,10808,2.080807209
61,447.0568182,802,4,485.580721,1222,30,65.94318182,100,88,400,37469,5.439903975
87,566.3846154,1115,39,517.1353846,1227,32,65,99,26,300,12227,3.392056942
72,378.2989691,666,2,514.1224227,1259,34,67.68041237,100,97,300,44001,6.17746067
29,637.4175824,1198,16,541.4495726,1239,30,68.73626374,100,91,300,55976,6.382343054
99,457.0506329,899,9,506.8506978,1170,30,69.84810127,100,79,400,34674,5.920607805
58,512.8658537,950,7,517.9509184,1351,30,67.54878049,100,82,300,42135,6.893051386
11,515.9411765,967,8,514.8414566,1165,30,66.42352941,100,85,400,39837,9.764405489
98,423.1851852,885,20,498.9002849,1090,31,64.44444444,99,27,300,10096,2.993304729
12,591.6428571,957,16,555.8703704,1205,30,63.25,100,28,300,14135,3.237144709
56,383.7802198,714,6,525.8227106,1306,30,63.12087912,99,91,400,40625,6.860070944
164,481.9375,792,78,516.8916667,961,30,74.875,99,16,300,6409,2.67546773
7,474.5697674,957,14,512.7493844,1213,30,64.93023256,100,86,300,42468,7.446755648
60,556.1919192,968,13,533.4621727,1246,34,63.96969697,99,99,400,47269,7.9654181
39,376.0147059,631,11,508.9021071,1214,30,65.11764706,100,68,500,25529,5.309958696
155,593.6470588,1125,43,536.375,1210,30,49.70588235,96,17,300,7008,2.017840862
98,498.9411765,1018,22,524.745098,1263,40,68.03921569,100,51,400,23456,4.405497551
149,592.1190476,1178,10,529.070568,1319,31,58.25,100,84,500,39619,5.799679279
61,405.5416667,642,20,546.251773,1256,30,60.20833333,98,48,400,17934,3.535025358
20,407.0215054,873,6,526.798504,1290,30,67.13978495,100,93,400,41314,6.132487535
45,377.8923077,901,11,475.1129808,1157,32,60.43076923,100,65,300,25726,4.424484015
76,440.5714286,944,17,522.2178054,1312,30,66.72857143,99,70,300,31126,6.138488054
69,481.1590909,864,13,523.7272727,1231,30,64.125,99,88,400,39410,7.505366087
7,655.4948454,1224,9,529.6260739,1305,31,60.82474227,100,97,400,50444,6.94773674
47,429.5,779,26,540.7108014,1261,32,67.0952381,100,42,400,17273,2.973466158
71,441.1764706,711,36,443.1323529,919,30,64.64705882,100,17,400,4964,1.626471996
27,578.7922078,1011,12,521.4200273,1226,31,61.77922078,100,77,400,37620,4.915455103
35,522.3333333,962,8,537.3758865,1354,30,65.58333333,95,48,400,20763,3.274103642
40,493.4022989,861,3,527.3531141,1272,30,65.37931034,98,87,300,44341,6.92005372
25,500.6923077,898,9,436.3831071,1057,31,68.51923077,100,52,400,20815,3.657923698
125,430.3908046,926,16,515.5169741,1206,30,66.59770115,100,87,400,35972,7.041963339
60,498.372093,996,10,528.1603283,1287,30,63.20930233,99,86,300,42472,6.162490845
45,578.4477612,1005,12,517.3609227,1299,30,64.29850746,100,67,400,30955,4.369498491
107,539.8888889,877,14,529.9180748,1222,30,65.57142857,100,63,400,27881,4.116641521
19,565.12,953,8,491.5506306,1207,30,64.66666667,99,75,300,38917,5.161748886
84,487.979798,905,4,508.3269429,1300,30,64.03030303,100,99,500,42417,6.057532787
48,542.5,1019,7,541.2720975,1268,31,66.42391304,100,92,300,49737,6.097507238
154,506.5,848,22,500.5631579,1081,41,70,95,20,400,7192,1.879941225
39,414.7777778,826,2,530.96804,1348,30,64.93333333,100,90,400,39034,5.948594809
255,456.5555556,688,13,482.6495726,1183,31,59.51851852,98,27,400,9160,2.335643053
28,522.5,903,5,522.8057303,1186,30,58.7037037,100,54,500,21854,3.641915083
67,620.2857143,1152,5,526.3686173,1256,31,64.35714286,100,84,400,41233,7.714598179
40,535.3636364,1020,10,515.6549112,1288,30,63.42045455,100,88,500,37773,5.818665743
71,525.4615385,957,5,535.5236167,1264,31,63.12820513,100,39,500,14648,3.394055605
70,401.0625,765,35,543.8850806,1262,30,62.0625,100,32,500,11524,2.750424385
85,723.3368421,1236,9,501.1834267,1231,30,66.33684211,99,95,500,47205,6.381364822
58,484.2083333,975,14,555.4690923,1221,30,64.05555556,99,72,500,30930,4.978148937
36,500.1818182,900,13,543.3991798,1251,32,66.67532468,100,77,400,35079,5.304981709
70,451.8666667,816,25,444.9428571,841,34,64.06666667,99,15,400,4544,1.775981188
19,516.975,909,19,527.1113924,1245,30,61.4,97,80,500,35284,5.655757666
107,457.96875,826,1,506.078629,1077,33,68.5625,100,32,300,12606,2.858354568
50,544.6818182,1031,13,556.2029598,1216,31,66.68181818,100,44,400,18897,3.743855715
13,755.59375,1332,13,515.7111842,1344,31,65.375,100,96,400,51068,7.246848583
69,479.6304348,952,16,531.2956522,1231,33,67.67391304,100,46,300,20979,4.857218742
201,669.1818182,1200,23,529.0047138,1209,31,65.47272727,100,55,300,30853,4.920181274
50,601.9347826,1008,15,550.810628,1262,31,56.58695652,96,46,400,20036,3.420039892
70,385.1311475,816,3,479.7142077,1219,31,63.49180328,100,61,400,24105,4.37846899
93,532.7460317,1030,19,460.8965694,1245,30,63.53968254,100,63,500,25586,4.115664482
224,746.2,1274,27,552.5428571,1267,31,63.05714286,100,35,300,20240,2.677464485
21,652.119403,1085,11,518.6151063,1160,30,62.11940299,100,67,300,35957,4.341532946
119,412.952381,792,9,506.5632985,1158,30,64.30952381,100,42,300,16925,3.157190561
59,459.8241758,977,4,540.1396825,1290,30,64.89010989,100,91,500,40051,7.932457685
90,604.9863014,1049,10,542.7716895,1276,31,64.52054795,100,73,400,35958,5.303982496
111,499.3614458,898,9,532.3300029,1369,33,63.71084337,99,83,500,37609,14.29881024
152,592.5357143,957,51,511.5132275,1094,34,66.39285714,100,28,500,9914,2.567526579
248,603.8611111,1003,31,498.3460317,1161,33,67.33333333,100,36,300,19032,2.942314386
107,527.2692308,1046,53,536.4738462,1138,33,61.76923077,99,26,400,10098,3.860784769
18,419.35,818,6,539.840404,1336,30,63.47,100,100,300,47218,7.789538383
100,514.7777778,759,30,546.2849003,1101,30,68.07407407,99,27,400,9891,2.220726967
91,473.7105263,866,16,555.1838596,1282,30,61.64473684,100,76,500,32035,6.31937933
119,376.9333333,605,108,488.1619048,1067,36,64.06666667,93,15,400,4961,1.588090658
85,421.6792453,670,20,526.3425254,1277,32,65.32075472,98,53,500,19383,4.705324888
95,470.9047619,925,16,551.8428571,1249,33,60.19047619,100,21,400,7388,1.842963696
69,478.8571429,1049,16,475.4714286,1238,36,69.71428571,100,21,300,8034,1.909925699
19,510.3636364,1038,8,500.2670455,1242,31,60.90909091,96,33,500,11081,2.653481245
37,695.2727273,1279,3,557.569488,1320,30,64.38636364,100,88,300,55752,5.500849009
163,508.7692308,943,76,537.7435897,1136,33,67.76923077,99,13,400,5273,1.759991884
48,392.8703704,764,13,490.6212439,1191,32,67.35185185,98,54,300,23066,4.344513178
113,662.6666667,980,128,538.1515152,954,33,62.83333333,96,12,400,4589,1.594086409
55,448.9278351,945,7,492.8917526,1182,33,65.54639175,96,97,500,39216,7.100915194
156,728.7263158,1225,2,534.293841,1300,30,65.01052632,98,95,300,57997,6.433315516
71,568.0425532,1121,6,526.7128803,1296,30,60.5212766,100,94,500,45018,6.863066435
73,694.0666667,1237,31,631.6190476,1213,37,71.73333333,99,15,500,6465,2.625496387
80,530.6875,1023,33,564.1633065,1204,34,69.78125,99,32,300,15077,3.571973085
156,484.44,755,40,568.95,1204,35,66.56,100,25,300,10745,2.944310665
46,521.5,1015,22,540.7751323,1191,30,65.32142857,98,28,500,10626,2.756417036
39,624.48,1182,8,488.9557576,1276,30,68.47,100,100,400,50965,6.349383831
56,376.0714286,648,57,470.021978,1042,35,71.21428571,97,14,400,4087,2.029837132
4,578.5142857,993,14,541.4008282,1254,31,61.18571429,100,70,500,29454,4.689336538
85,429.8059701,699,7,565.8403437,1322,30,62.70149254,100,67,400,28244,4.841225863
40,503.2567568,1032,1,537.966679,1287,30,64.94594595,100,74,400,31434,5.618783474
122,613.0925926,1084,13,545.0083857,1315,31,70.90740741,99,54,300,30710,13.22942328
43,470.1728395,902,17,512.1055556,1202,30,66.69135802,100,81,300,39660,14.13590145
143,455.4285714,900,4,544.107563,1237,31,68.65714286,98,35,500,12577,4.877207041
50,475.5479452,935,21,522.0624049,1270,30,67.21917808,100,73,500,29890,7.549675703
32,586.9076923,1115,12,496.8524038,1228,31,64.53846154,100,65,300,32217,6.636197805
9,523.5211268,914,2,533.8515091,1275,31,58.76056338,100,71,500,30383,6.431316376
41,703.6607143,1214,12,535.3857143,1243,30,67.57142857,100,56,400,28655,6.107501268
133,573.5263158,963,3,559.9231863,1146,30,63.52631579,96,38,400,16393,3.270106077
6,514.09375,931,5,540.9305556,1281,30,64.296875,100,64,300,30973,5.337941885
55,489.5689655,999,17,474.7168784,1147,30,66.24137931,100,58,400,24532,8.046391487
24,413.06,846,4,481.4212245,1184,30,64.58,98,50,400,19004,4.394482136
65,625.8823529,1132,61,541.6029412,1097,32,58.17647059,100,17,400,6160,1.945885897
20,512.4193548,984,11,533.7667134,1224,30,61.29032258,99,93,500,42762,6.579235315
47,445.5494505,852,14,532.5142857,1302,30,64.97802198,100,91,300,44984,7.102912426
140,602.6,796,73,406.8,953,33,68.2,96,10,500,3717,1.766988277
46,421.5714286,815,23,524.3619048,1099,31,65.33333333,99,21,300,7901,3.131205797
141,638.6,1091,24,482.3142857,1121,39,67.6,99,15,500,5660,2.159760952
38,459.6526316,866,2,515.1487122,1231,30,65.65263158,99,95,400,43863,6.348363161
132,520.3529412,833,81,467.3235294,1027,34,70.52941176,98,17,500,5434,2.002851486
136,563.92,1136,26,461.1933333,1152,32,66.92,98,25,500,7950,2.134778738
65,660.2465753,1177,9,492.8576865,1262,33,66.02739726,100,73,400,37098,5.665753603
131,607.8823529,1036,12,528.8349429,1249,30,61.64705882,99,68,400,34250,8.225288153
45,499.875,946,7,518.1701878,1184,31,68.70833333,100,72,400,32066,5.105096579
78,463.9516129,1028,5,499.3188789,1208,33,67.70967742,100,62,500,23619,4.151624441
70,473.9892473,963,9,541.5715288,1292,30,65.25806452,100,93,300,45823,5.752706766
82,638.1964286,1017,22,543.9175325,1270,31,61.82142857,98,56,500,25114,3.660902262
65,564.2105263,942,17,480.0175439,1126,31,57.36842105,88,19,300,7493,1.635061264
46,574.7169811,948,4,523.6509434,1161,30,62.13207547,99,53,300,27188,3.674891472
147,440.3333333,794,40,490.3267974,1097,31,69.44444444,100,18,400,6212,1.672059536
194,762.9069767,1271,27,539.2668882,1248,33,63.58139535,97,43,400,22000,3.153195143
92,577.2758621,1070,18,515.2991179,1226,31,62.83908046,99,87,300,46732,5.533851147
64,583.1568627,1166,8,547.3819608,1247,30,62.31372549,100,51,400,22090,3.503994465
107,384.7619048,802,19,502.7666667,1036,33,68.9047619,98,21,400,6454,1.943884373
130,566.3653846,1057,18,492.8386124,1142,30,63.01923077,95,52,500,20696,3.49098134
55,635.3829787,1163,7,514.679926,1207,32,62.91489362,100,47,500,19228,3.631900549
91,521.0666667,901,29,447.9471264,976,30,66.63333333,93,30,400,10737,2.477580547
98,684.7692308,1258,12,487.7179487,1222,30,66.30769231,100,91,300,49642,5.647784948
51,473.0625,952,1,555.1927215,1334,30,62.5375,99,80,400,37090,5.137058973
65,515.375,948,7,516.0056962,1232,30,64.8125,100,80,500,32874,4.886200905
145,612.59375,1071,18,552.6011905,1317,31,64.09375,100,64,400,31600,4.211567163
42,474.9487179,904,7,556.3593074,1301,30,63.12820513,97,78,500,34680,4.719317436
101,419.7368421,714,33,492.0818713,1031,33,68.57894737,98,19,500,5720,1.696027994
128,729.8461538,1230,8,549.3069382,1209,30,64.15384615,100,52,300,28541,5.068096399
117,420.0930233,810,11,518.8349945,1161,30,60.58139535,98,43,500,15210,3.943737745
240,449.8181818,737,101,479.5090909,874,30,66.72727273,95,11,400,3662,2.224724054
89,528.1348315,994,1,528.3598059,1303,32,62.82022472,100,89,500,39287,6.387362242
72,568.5555556,971,22,528.4339623,1251,30,66.7037037,100,54,500,23199,3.624943018
106,634.1777778,1224,14,525.2571785,1333,30,64.16666667,100,90,500,41451,5.447897911
145,497.3913043,937,62,504.9051383,1186,33,67.39130435,99,23,300,10474,2.058817863
47,565.6969697,988,12,535.9916084,1215,30,62.48484848,98,66,400,31523,4.313551188
206,690.625,1012,13,530.7741935,1244,30,64.5625,93,32,400,14135,2.511579275
63,435.3333333,772,2,549.7385768,1226,30,66.61111111,100,90,300,43975,5.637791395
48,576.38,1109,5,517.7820408,1259,30,69.88,100,50,300,26771,3.518985033
36,698.8072289,1219,5,489.3170732,1250,31,63.98795181,100,83,500,38528,5.251990795
141,370.5666667,561,18,498.9356322,1075,31,65.96666667,98,30,400,10142,2.414640903
38,418.0813953,890,20,508.7931601,1233,30,63.58139535,100,86,300,39462,5.468846798
128,478.7,795,6,523.3141026,1164,30,64.7,99,40,300,17195,2.932321072
52,668.2,1205,8,485.172973,1331,30,59.8,98,75,500,32250,4.835231781
84,509.5,958,5,495.4179894,1212,30,58.85714286,96,28,300,11832,2.25770545
